Location, Date Time, Temperature

New York,05-29-2024 09:00,22.31
New York,05-29-2024 10:00,22.53
New York,05-29-2024 11:00,21.53
New York,05-30-2024 12:00,19.98
New York,05-30-2024 01:00,18.54
New York,05-30-2024 02:00,16.98
New York,05-30-2024 03:00,16.27
New York,05-30-2024 04:00,15.99
New York,05-30-2024 05:00,15.77
New York,05-30-2024 06:00,15.27
New York,05-30-2024 07:00,15.37
New York,05-30-2024 08:00,15.12
New York,05-30-2024 09:00,14.49
New York,05-30-2024 10:00,14.14
New York,05-30-2024 11:00,13.88
New York,05-30-2024 12:00,12.64
New York,05-30-2024 01:00,12.15
New York,05-30-2024 02:00,12.74
New York,05-30-2024 03:00,13.13
New York,05-30-2024 04:00,13.38
New York,05-30-2024 05:00,13.63
New York,05-30-2024 06:00,14.76
New York,05-30-2024 07:00,14.76
New York,05-30-2024 08:00,15.01
New York,05-30-2024 09:00,14.76
New York,05-30-2024 10:00,14.13
New York,05-30-2024 11:00,13.99
New York,05-31-2024 12:00,13.14
New York,05-31-2024 01:00,13
New York,05-31-2024 02:00,13
New York,05-31-2024 03:00,12.61
New York,05-31-2024 04:00,12.5
New York,05-31-2024 05:00,12.36
New York,05-31-2024 06:00,11.87
New York,05-31-2024 07:00,10.88
New York,05-31-2024 08:00,10.13
New York,05-31-2024 09:00,9.52
New York,05-31-2024 10:00,9.63
New York,05-31-2024 11:00,11.26
New York,05-31-2024 12:00,13
New York,05-31-2024 01:00,14.85
New York,05-31-2024 02:00,16.73
New York,05-31-2024 03:00,17.76
New York,05-31-2024 04:00,18.39
New York,05-31-2024 05:00,18.98
New York,05-31-2024 06:00,19.78
New York,05-31-2024 07:00,20.45
New York,05-31-2024 08:00,20.89
New York,05-31-2024 09:00,21.66
New York,05-31-2024 10:00,21.81
New York,05-31-2024 11:00,20.32
New York,06-01-2024 12:00,17.39
New York,06-01-2024 01:00,15.8
New York,06-01-2024 02:00,15.58
New York,06-01-2024 03:00,14.72
New York,06-01-2024 04:00,13.85
New York,06-01-2024 05:00,13.35
New York,06-01-2024 06:00,13.07
New York,06-01-2024 07:00,12.76
New York,06-01-2024 08:00,12.56
New York,06-01-2024 09:00,12.41
New York,06-01-2024 10:00,12.65
New York,06-01-2024 11:00,14.2
New York,06-01-2024 12:00,16.63
New York,06-01-2024 01:00,18.88
New York,06-01-2024 02:00,20.85
New York,06-01-2024 03:00,22.93
New York,06-01-2024 04:00,23.55
New York,06-01-2024 05:00,23.36
New York,06-01-2024 06:00,23.37
New York,06-01-2024 07:00,22.97
New York,06-01-2024 08:00,22.78
New York,06-01-2024 09:00,22.78
New York,06-01-2024 10:00,22.44
New York,06-01-2024 11:00,21.22
New York,06-02-2024 12:00,18.93
New York,06-02-2024 01:00,17.45
New York,06-02-2024 02:00,16.6
New York,06-02-2024 03:00,15.86
New York,06-02-2024 04:00,15.18
New York,06-02-2024 05:00,14.46
New York,06-02-2024 06:00,14.01
New York,06-02-2024 07:00,13.49
New York,06-02-2024 08:00,13.1
New York,06-02-2024 09:00,12.76
New York,06-02-2024 10:00,13.12
New York,06-02-2024 11:00,14.87
New York,06-02-2024 12:00,16.94
New York,06-02-2024 01:00,18.86
New York,06-02-2024 02:00,20.83
New York,06-02-2024 03:00,22.16
New York,06-02-2024 04:00,22.6
New York,06-02-2024 05:00,20.17
New York,06-02-2024 06:00,19.98
New York,06-02-2024 07:00,19.79
New York,06-02-2024 08:00,19.86
New York,06-02-2024 09:00,19.8
New York,06-02-2024 10:00,19.07
New York,06-02-2024 11:00,18.25
New York,06-03-2024 12:00,16.82
New York,06-03-2024 01:00,16.16
New York,06-03-2024 02:00,16.08
New York,06-03-2024 03:00,15.99
New York,06-03-2024 04:00,15.9
New York,06-03-2024 05:00,15.98
New York,06-03-2024 06:00,16.15
New York,06-03-2024 07:00,16.06
New York,06-03-2024 08:00,15.52
New York,06-03-2024 09:00,15.07
New York,06-03-2024 10:00,14.96
New York,06-03-2024 11:00,15.71
New York,06-03-2024 12:00,16.72
New York,06-03-2024 01:00,17.22
New York,06-03-2024 02:00,17.73
New York,06-03-2024 03:00,18.24
New York,06-03-2024 04:00,18.56
New York,06-03-2024 05:00,18.89
New York,06-03-2024 06:00,19.22
New York,06-03-2024 07:00,19.32
New York,06-03-2024 08:00,19.42